ID,Service_time,Distance_Residence_Work,Work_load_Average_day,Hit_target,Disciplinary_failure,Age,Social_drinker,Body_mass_index,Perfil_Riesgo,Perfil_Final_IA,Prob_Saturacion,Prob_Inestabilidad
1,14,11,262.89447826086956,95.17391304347827,1,37,False,29,Perfil Estable,Perfil Estable,0.0,0.03
2,12,29,241.59699999999998,93.33333333333333,1,48,False,33,Perfil Estable,Perfil Estable,0.0,0.0
3,18,51,264.74721649484536,94.76288659793815,1,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0
4,13,14,271.219,95.0,0,40,True,34,Perfil Estable,Perfil Estable,0.0,0.0
5,13,20,266.7413888888889,91.72222222222223,1,43,True,38,Perfil Estable,Perfil Estable,0.0,0.0
6,13,29,274.829,94.875,0,33,False,25,Perfil Estable,Perfil Estable,0.06,0.0
7,14,5,303.2108333333333,94.66666666666667,1,39,True,24,Perfil de Inestabilidad,Perfil de Inestabilidad,0.05,0.625
8,14,35,282.71799999999996,88.0,1,39,True,35,Perfil Estable,Perfil Estable,0.15,0.03
9,16,14,249.04225,95.875,0,58,False,22,Perfil Estable,Perfil Estable,0.0,0.0
10,3,52,258.764347826087,94.0,0,28,True,27,Junior Vulnerable,Junior Vulnerable,0.015,0.0
11,13,36,271.4343,93.85,1,33,True,30,Perfil Estable,Perfil Estable,0.0,0.0
12,1,51,271.274,96.14285714285714,0,31,True,21,Junior Vulnerable,Junior Vulnerable,0.005,0.0
13,12,17,261.5994,92.86666666666666,1,31,True,25,Perfil Estable,Perfil Estable,0.0,0.01
14,14,12,299.3543793103448,95.6896551724138,0,34,True,25,Perfil Estable,Perfil Estable,0.03,0.0
15,12,31,281.50175,92.41666666666667,1,40,True,25,Perfil Estable,Perfil Estable,0.04,0.01
16,24,15,248.64249999999998,97.5,0,46,True,25,Perfil Estable,Perfil Estable,0.01,0.0
17,17,22,281.838,96.0,0,40,False,22,Perfil Estable,Perfil Estable,0.215,0.0
18,4,16,266.5655625,96.25,1,28,False,25,Junior Vulnerable,Perfil Estable,0.0,0.165
19,12,50,281.12899999999996,89.33333333333333,1,32,True,23,Perfil Estable,Perfil Estable,0.105,0.01
20,11,50,267.2015714285714,94.57142857142857,1,36,True,23,Perfil Estable,Perfil Estable,0.0,0.01
21,8,11,256.998,94.0,1,33,False,25,Perfil Estable,Perfil Estable,0.0,0.03
22,9,26,268.868243902439,95.02439024390245,0,30,False,19,Perfil Estable,Perfil Estable,0.0,0.0
23,11,49,301.01,96.125,1,36,False,21,Perfil de Inestabilidad,Saturado Logístico,0.475,0.19
24,16,25,281.32439285714287,94.14285714285714,1,41,True,23,Perfil Estable,Perfil Estable,0.065,0.015
25,8,16,254.81750000000002,95.6,0,32,False,25,Perfil Estable,Perfil Estable,0.0,0.0
26,13,26,247.717,95.4,0,43,True,25,Perfil Estable,Perfil Estable,0.005,0.0
27,7,42,299.95633333333336,95.16666666666667,0,27,False,21,Saturado Logístico,Saturado Logístico,0.945,0.0
28,9,26,281.79805405405403,94.93243243243244,1,28,False,24,Perfil Estable,Perfil Estable,0.0,0.01
29,15,26,243.7386,97.2,1,41,True,28,Perfil Estable,Perfil Estable,0.0,0.0
30,6,27,263.3658571428572,93.71428571428571,1,29,True,22,Perfil Estable,Perfil Estable,0.0,0.015
31,9,15,328.018,96.66666666666667,1,50,False,24,Perfil de Inestabilidad,Perfil de Inestabilidad,0.04,0.595
32,29,48,309.1282,92.6,0,49,False,36,Saturado Logístico,Saturado Logístico,0.88,0.0
33,14,25,263.58025000000004,94.79166666666667,1,47,False,32,Perfil Estable,Perfil Estable,0.0,0.005
34,10,10,267.84938,94.62,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0
35,14,45,271.219,95.0,0,53,False,25,Perfil Estable,Perfil Estable,0.03,0.01
36,18,13,272.2835,94.32352941176471,1,50,True,31,Perfil Estable,Perfil Estable,0.0,0.005
37,11,50,261.306,97.0,0,36,True,23,Perfil Estable,Perfil Estable,0.0,0.0
38,16,25,294.217,81.0,0,41,True,23,Saturado Logístico,Saturado Logístico,1.0,0.0
39,13,29,251.818,96.0,0,33,False,25,Perfil Estable,Perfil Estable,0.03,0.0
40,3,52,239.554,97.0,0,28,True,27,Perfil Estable,Junior Vulnerable,0.015,0.0
41,10,10,251.818,96.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0
42,9,26,306.345,93.0,0,28,False,24,Saturado Logístico,Saturado Logístico,1.0,0.0
43,6,27,265.615,94.0,0,29,True,22,Perfil Estable,Perfil Estable,0.01,0.0
44,13,20,249.797,93.0,0,43,True,38,Perfil Estable,Perfil Estable,0.0,0.0
45,11,50,253.465,93.0,0,36,True,23,Perfil Estable,Perfil Estable,0.0,0.0
46,9,26,306.345,93.0,0,28,False,24,Saturado Logístico,Saturado Logístico,1.0,0.0
47,16,25,251.818,96.0,0,41,True,23,Perfil Estable,Perfil Estable,0.0,0.0
48,13,36,326.452,96.0,0,33,True,30,Saturado Logístico,Saturado Logístico,1.0,0.0
49,18,51,222.196,99.0,0,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0
50,10,10,261.306,97.0,0,37,False,28,Perfil Estable,Perfil Estable,0.0,0.0
51,29,48,284.853,91.0,0,49,False,36,Saturado Logístico,Saturado Logístico,0.905,0.0
52,11,50,251.818,96.0,0,36,True,23,Perfil Estable,Perfil Estable,0.0,0.0
53,8,16,237.656,99.0,0,32,False,25,Perfil Estable,Perfil Estable,0.0,0.0
54,13,36,239.554,97.0,0,33,True,30,Perfil Estable,Perfil Estable,0.0,0.0
55,13,36,275.312,98.0,0,33,True,30,Perfil Estable,Perfil Estable,0.01,0.0
56,17,22,343.253,95.0,0,40,False,22,Saturado Logístico,Saturado Logístico,0.98,0.005
57,13,20,246.074,99.0,0,43,True,38,Perfil Estable,Perfil Estable,0.0,0.0
58,9,26,246.074,99.0,0,30,False,19,Perfil Estable,Perfil Estable,0.0,0.0
59,13,36,222.196,99.0,0,33,True,30,Perfil Estable,Perfil Estable,0.0,0.0
60,13,26,230.29,92.0,0,43,True,25,Perfil Estable,Perfil Estable,0.005,0.0
61,15,15,264.249,97.0,0,41,True,28,Perfil Estable,Perfil Estable,0.0,0.0
62,13,36,308.593,95.0,0,33,True,30,Saturado Logístico,Saturado Logístico,1.0,0.0
63,18,13,237.656,99.0,0,50,True,31,Perfil Estable,Perfil Estable,0.0,0.0
64,18,51,378.884,92.0,0,38,True,31,Saturado Logístico,Saturado Logístico,0.975,0.01
65,9,26,306.345,93.0,0,28,False,24,Saturado Logístico,Saturado Logístico,1.0,0.0
66,18,13,246.288,91.0,0,50,True,31,Perfil Estable,Perfil Estable,0.0,0.0
