ID,Service_time,Distance_Residence_Work,Work_load_Average_day,Hit_target,Disciplinary_failure,Age,Social_drinker,Body_mass_index,Perfil_Riesgo,Perfil_Final_IA,Prob_Saturacion,Prob_Inestabilidad,Prediccion_IA,Confianza_IA
1,14,11,262.89447826086956,95.17391304347827,1,37,False,29,Perfil Estable,Perfil Estable,0.0,0.03,Perfil Estable,0.9607992277940219
2,12,29,241.59699999999998,93.33333333333333,1,48,False,33,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
3,18,51,264.74721649484536,94.76288659793815,1,38,True,31,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
4,13,14,271.219,95.0,0,40,True,34,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
5,13,20,266.7413888888889,91.72222222222223,1,43,True,38,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
6,13,29,274.829,94.875,0,33,False,25,Perfil Estable,Perfil Estable,0.06,0.0,Perfil Estable,0.9431702126694396
7,14,5,303.2108333333333,94.66666666666667,1,39,True,24,Perfil de Inestabilidad,Perfil de Inestabilidad,0.05,0.625,Perfil de Inestabilidad,0.8989900020404
8,14,35,282.71799999999996,88.0,1,39,True,35,Perfil Estable,Perfil Estable,0.15,0.03,Perfil Estable,0.86
9,16,14,249.04225,95.875,0,58,False,22,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,1.0
10,3,52,258.764347826087,94.0,0,28,True,27,Junior Vulnerable,Junior Vulnerable,0.015,0.0,Junior Vulnerable,0.9380968972674922
11,13,36,271.4343,93.85,1,33,True,30,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9905732484076434
12,1,51,271.274,96.14285714285714,0,31,True,21,Junior Vulnerable,Junior Vulnerable,0.005,0.0,Junior Vulnerable,0.9646121314299104
13,12,17,261.5994,92.86666666666666,1,31,True,25,Perfil Estable,Perfil Estable,0.0,0.01,Perfil Estable,1.0
14,14,12,299.3543793103448,95.6896551724138,0,34,True,25,Perfil Estable,Perfil Estable,0.03,0.0,Perfil Estable,0.8252081885379334
15,12,31,281.50175,92.41666666666667,1,40,True,25,Perfil Estable,Perfil Estable,0.04,0.01,Perfil Estable,0.99
16,24,15,248.64249999999998,97.5,0,46,True,25,Perfil Estable,Perfil Estable,0.01,0.0,Perfil Estable,1.0
17,17,22,281.838,96.0,0,40,False,22,Perfil Estable,Perfil Estable,0.215,0.0,Perfil Estable,0.9398156904078414
18,4,16,266.5655625,96.25,1,28,False,25,Junior Vulnerable,Perfil Estable,0.0,0.165,Junior Vulnerable,0.78
19,12,50,281.12899999999996,89.33333333333333,1,32,True,23,Perfil Estable,Perfil Estable,0.105,0.01,Perfil Estable,0.99
20,11,50,267.2015714285714,94.57142857142857,1,36,True,23,Perfil Estable,Perfil Estable,0.0,0.01,Perfil Estable,0.99
21,8,11,256.998,94.0,1,33,False,25,Perfil Estable,Perfil Estable,0.0,0.03,Perfil Estable,0.9506512987999391
22,9,26,268.868243902439,95.02439024390245,0,30,False,19,Perfil Estable,Perfil Estable,0.0,0.0,Perfil Estable,0.9662308916980439
23,11,49,301.01,96.125,1,36,False,21,Perfil de Inestabilidad,Saturado Logístico,0.475,0.19,Perfil de Inestabilidad,0.8113805017921666
24,16,25,281.32439285714287,94.14285714285714,1,41,True,23,Perfil Estable,Perfil Estable,0.065,0.015,Perfil Estable,0.99
