ID,Perfil_Riesgo,Prediccion_IA,Hit_target
1,Perfil Estable,Perfil Estable,95.17391304347827
2,Perfil Estable,Perfil Estable,93.33333333333333
3,Perfil Estable,Perfil Estable,94.76288659793815
4,Perfil Estable,Perfil Estable,95.0
5,Perfil Estable,Perfil Estable,91.72222222222223
6,Perfil Estable,Perfil Estable,94.875
7,Perfil de Inestabilidad,Perfil de Inestabilidad,94.66666666666667
8,Perfil Estable,Perfil Estable,88.0
9,Perfil Estable,Perfil Estable,95.875
10,Junior Vulnerable,Junior Vulnerable,94.0
11,Perfil Estable,Perfil Estable,93.85
12,Junior Vulnerable,Junior Vulnerable,96.14285714285714
13,Perfil Estable,Perfil Estable,92.86666666666666
14,Perfil Estable,Perfil Estable,95.6896551724138
15,Perfil Estable,Perfil Estable,92.41666666666667
16,Perfil Estable,Perfil Estable,97.5
17,Perfil Estable,Perfil Estable,96.0
18,Junior Vulnerable,Perfil Estable,96.25
19,Perfil Estable,Perfil Estable,89.33333333333333
20,Perfil Estable,Perfil Estable,94.57142857142857
21,Perfil Estable,Perfil Estable,94.0
22,Perfil Estable,Perfil Estable,95.02439024390245
23,Perfil de Inestabilidad,Saturado Logístico,96.125
24,Perfil Estable,Perfil Estable,94.14285714285714
25,Perfil Estable,Perfil Estable,95.6
26,Perfil Estable,Perfil Estable,95.4
27,Saturado Logístico,Saturado Logístico,95.16666666666667
28,Perfil Estable,Perfil Estable,94.93243243243244
29,Perfil Estable,Perfil Estable,97.2
30,Perfil Estable,Perfil Estable,93.71428571428571
31,Perfil de Inestabilidad,Perfil de Inestabilidad,96.66666666666667
32,Saturado Logístico,Saturado Logístico,92.6
33,Perfil Estable,Perfil Estable,94.79166666666667
34,Perfil Estable,Perfil Estable,94.62
35,Perfil Estable,Perfil Estable,95.0
36,Perfil Estable,Perfil Estable,94.32352941176471
37,Perfil Estable,Perfil Estable,97.0
38,Saturado Logístico,Saturado Logístico,81.0
39,Perfil Estable,Perfil Estable,96.0
40,Perfil Estable,Junior Vulnerable,97.0
41,Perfil Estable,Perfil Estable,96.0
42,Saturado Logístico,Saturado Logístico,93.0
43,Perfil Estable,Perfil Estable,94.0
44,Perfil Estable,Perfil Estable,93.0
45,Perfil Estable,Perfil Estable,93.0
46,Saturado Logístico,Saturado Logístico,93.0
47,Perfil Estable,Perfil Estable,96.0
48,Saturado Logístico,Saturado Logístico,96.0
49,Perfil Estable,Perfil Estable,99.0
50,Perfil Estable,Perfil Estable,97.0
51,Saturado Logístico,Saturado Logístico,91.0
52,Perfil Estable,Perfil Estable,96.0
53,Perfil Estable,Perfil Estable,99.0
54,Perfil Estable,Perfil Estable,97.0
55,Perfil Estable,Perfil Estable,98.0
56,Saturado Logístico,Saturado Logístico,95.0
57,Perfil Estable,Perfil Estable,99.0
58,Perfil Estable,Perfil Estable,99.0
59,Perfil Estable,Perfil Estable,99.0
60,Perfil Estable,Perfil Estable,92.0
61,Perfil Estable,Perfil Estable,97.0
62,Saturado Logístico,Saturado Logístico,95.0
63,Perfil Estable,Perfil Estable,99.0
64,Saturado Logístico,Saturado Logístico,92.0
65,Saturado Logístico,Saturado Logístico,93.0
66,Perfil Estable,Perfil Estable,91.0
67,Saturado Logístico,Saturado Logístico,96.0
68,Perfil Estable,Perfil Estable,99.0
69,Saturado Logístico,Saturado Logístico,91.0
70,Saturado Logístico,Saturado Logístico,96.0
71,Perfil Estable,Perfil Estable,93.0
72,Perfil Estable,Perfil Estable,88.0
73,Saturado Logístico,Saturado Logístico,100.0
74,Saturado Logístico,Saturado Logístico,96.0
75,Perfil Estable,Perfil Estable,93.0
76,Perfil Estable,Perfil Estable,92.0
77,Perfil Estable,Perfil Estable,97.0
78,Saturado Logístico,Saturado Logístico,81.0
79,Perfil Estable,Perfil Estable,93.0
80,Perfil Estable,Perfil Estable,92.0
81,Perfil Estable,Perfil Estable,96.0
82,Saturado Logístico,Saturado Logístico,99.0
83,Perfil Estable,Perfil Estable,95.0
84,Saturado Logístico,Saturado Logístico,91.0
85,Saturado Logístico,Saturado Logístico,93.0
86,Perfil Estable,Perfil Estable,93.0
87,Perfil Estable,Perfil Estable,97.0
88,Perfil Estable,Perfil Estable,96.0
89,Saturado Logístico,Saturado Logístico,92.0
90,Perfil Estable,Perfil Estable,98.0
91,Perfil Estable,Perfil Estable,97.0
92,Perfil Estable,Perfil Estable,91.0
93,Perfil Estable,Perfil Estable,97.0
94,Saturado Logístico,Saturado Logístico,97.0
95,Perfil Estable,Perfil Estable,97.0
96,Perfil Estable,Perfil Estable,93.0
97,Perfil Estable,Perfil Estable,92.0
98,Perfil Estable,Perfil Estable,99.0
99,Saturado Logístico,Saturado Logístico,96.0
100,Perfil Estable,Perfil Estable,95.0
101,Saturado Logístico,Saturado Logístico,91.0
102,Junior Vulnerable,Junior Vulnerable,94.0
103,Perfil Estable,Perfil Estable,94.0
104,Perfil Estable,Perfil Estable,99.0
105,Saturado Logístico,Saturado Logístico,97.0
106,Perfil Estable,Perfil Estable,93.0
107,Saturado Logístico,Saturado Logístico,96.0
108,Perfil Estable,Perfil Estable,97.0
109,Perfil Estable,Perfil Estable,97.0
110,Perfil Estable,Perfil Estable,100.0
111,Perfil Estable,Perfil Estable,93.0
112,Perfil Estable,Perfil Estable,95.0
113,Perfil Estable,Perfil Estable,98.0
114,Perfil Estable,Perfil Estable,92.0
115,Perfil Estable,Perfil Estable,98.0
116,Saturado Logístico,Saturado Logístico,96.0
117,Perfil Estable,Perfil Estable,93.0
118,Perfil Estable,Perfil Estable,93.0
119,Perfil Estable,Perfil Estable,95.0
120,Perfil Estable,Perfil Estable,96.0
121,Perfil Estable,Perfil Estable,93.0
122,Perfil Estable,Perfil Estable,97.0
123,Perfil Estable,Perfil Estable,95.0
124,Perfil Estable,Perfil Estable,97.0
125,Saturado Logístico,Saturado Logístico,99.0
126,Perfil Estable,Perfil Estable,99.0
127,Perfil Estable,Perfil Estable,97.0
128,Perfil Estable,Perfil Estable,98.0
129,Perfil Estable,Perfil Estable,92.0
130,Saturado Logístico,Saturado Logístico,97.0
131,Perfil Estable,Perfil Estable,98.0
132,Saturado Logístico,Saturado Logístico,94.0
133,Perfil Estable,Perfil Estable,99.0
134,Saturado Logístico,Saturado Logístico,97.0
135,Perfil Estable,Perfil Estable,93.0
136,Perfil Estable,Perfil Estable,92.0
137,Saturado Logístico,Saturado Logístico,91.0
138,Perfil Estable,Perfil Estable,95.0
139,Perfil Estable,Perfil Estable,94.0
140,Perfil Estable,Perfil Estable,99.0
141,Perfil Estable,Perfil Estable,93.0
142,Perfil Estable,Perfil Estable,97.0
143,Saturado Logístico,Saturado Logístico,99.0
144,Saturado Logístico,Saturado Logístico,93.0
145,Perfil Estable,Perfil Estable,93.0
146,Saturado Logístico,Saturado Logístico,95.0
147,Saturado Logístico,Saturado Logístico,93.0
148,Saturado Logístico,Saturado Logístico,95.0
149,Perfil Estable,Perfil Estable,97.0
150,Perfil Estable,Perfil Estable,96.0
151,Saturado Logístico,Saturado Logístico,94.0
152,Perfil Estable,Perfil Estable,92.0
153,Perfil Estable,Perfil Estable,99.0
154,Perfil Estable,Perfil Estable,99.0
155,Perfil Estable,Perfil Estable,92.0
156,Saturado Logístico,Saturado Logístico,92.0
157,Perfil Estable,Perfil Estable,93.0
158,Saturado Logístico,Saturado Logístico,95.0
159,Saturado Logístico,Saturado Logístico,94.0
160,Perfil Estable,Perfil Estable,93.0
161,Perfil Estable,Perfil Estable,93.0
162,Saturado Logístico,Saturado Logístico,91.0
163,Saturado Logístico,Saturado Logístico,93.0
164,Perfil Estable,Perfil Estable,93.0
165,Perfil Estable,Perfil Estable,99.0
166,Saturado Logístico,Saturado Logístico,96.0
167,Saturado Logístico,Saturado Logístico,92.0
168,Perfil Estable,Perfil Estable,97.0
169,Junior Vulnerable,Perfil Estable,95.0
170,Perfil Estable,Perfil Estable,96.0
171,Perfil Estable,Perfil Estable,98.0
172,Perfil Estable,Perfil Estable,96.0
173,Perfil Estable,Perfil Estable,93.0
174,Saturado Logístico,Saturado Logístico,97.0
175,Perfil Estable,Perfil Estable,97.0
176,Perfil Estable,Perfil Estable,93.0
177,Perfil Estable,Perfil Estable,97.0
178,Junior Vulnerable,Perfil Estable,98.0
179,Saturado Logístico,Saturado Logístico,95.0
180,Perfil Estable,Perfil Estable,92.0
181,Perfil Estable,Perfil Estable,99.0
182,Perfil Estable,Perfil Estable,97.0
183,Perfil Estable,Junior Vulnerable,99.0
184,Perfil Estable,Perfil Estable,95.0
185,Perfil Estable,Perfil Estable,88.0
186,Perfil Estable,Perfil Estable,94.0
187,Perfil Estable,Perfil Estable,95.0
188,Saturado Logístico,Saturado Logístico,96.0
189,Perfil Estable,Perfil Estable,99.0
190,Perfil Estable,Perfil Estable,88.0
191,Perfil Estable,Perfil Estable,98.0
192,Perfil Estable,Perfil Estable,99.0
193,Perfil Estable,Perfil Estable,92.0
194,Perfil Estable,Perfil Estable,99.0
195,Perfil Estable,Perfil Estable,99.0
196,Perfil Estable,Perfil Estable,95.0
197,Perfil de Inestabilidad,Perfil Estable,97.0
198,Perfil Estable,Perfil Estable,98.0
199,Perfil Estable,Perfil Estable,93.0
200,Perfil Estable,Perfil Estable,99.0
201,Saturado Logístico,Saturado Logístico,94.0
202,Perfil Estable,Perfil Estable,97.0
203,Perfil Estable,Perfil Estable,97.0
